DEBUG 2024-12-10 16:25:38,577 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:25:38,579 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1536 LIMIT 21; args=(1536,); alias=default
DEBUG 2024-12-10 16:25:38,581 utils (0.001) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 47 LIMIT 21; args=(47,); alias=default
DEBUG 2024-12-10 16:25:41,743 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:25:41,744 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1537 LIMIT 21; args=(1537,); alias=default
DEBUG 2024-12-10 16:25:41,747 utils (0.002) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 48 LIMIT 21; args=(48,); alias=default
DEBUG 2024-12-10 16:25:45,276 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:25:45,279 utils (0.002) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1537 LIMIT 21; args=(1537,); alias=default
DEBUG 2024-12-10 16:25:45,281 utils (0.001) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 48 LIMIT 21; args=(48,); alias=default
DEBUG 2024-12-10 16:28:04,806 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2024-12-10 16:28:04,807 utils (0.001) SELECT `notificacoes_notificacao`.`id`, `notificacoes_notificacao`.`destinatario_id`, `notificacoes_notificacao`.`solicitante_id`, `notificacoes_notificacao`.`documento_id`, `notificacoes_notificacao`.`mensagem`, `notificacoes_notificacao`.`lida`, `notificacoes_notificacao`.`data_criacao`, `notificacoes_notificacao`.`link` FROM `notificacoes_notificacao` WHERE `notificacoes_notificacao`.`id` = 1538 LIMIT 21; args=(1538,); alias=default
DEBUG 2024-12-10 16:28:04,809 utils (0.001) SELECT `usuarios_usuario`.`id`, `usuarios_usuario`.`password`, `usuarios_usuario`.`last_login`, `usuarios_usuario`.`is_superuser`, `usuarios_usuario`.`username`, `usuarios_usuario`.`first_name`, `usuarios_usuario`.`last_name`, `usuarios_usuario`.`email`, `usuarios_usuario`.`is_staff`, `usuarios_usuario`.`is_active`, `usuarios_usuario`.`date_joined`, `usuarios_usuario`.`is_ad_user`, `usuarios_usuario`.`ativo`, `usuarios_usuario`.`profile_photo` FROM `usuarios_usuario` WHERE `usuarios_usuario`.`id` = 47 LIMIT 21; args=(47,); alias=default
DEBUG 2024-12-10 16:28:08,874 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
