"Cód.produto","referencia","Matriz"
NULL,NULL,"10021400_10021500.SD01"
NULL,NULL,"101.001.R002"
NULL,NULL,"101.003.R005"
NULL,NULL,"101.005.C001"
NULL,NULL,"101.009.R007"
NULL,NULL,"101.009.R008"
NULL,NULL,"101.010.R010"
NULL,NULL,"101.017.I001"
NULL,NULL,"101.017.R001"
NULL,NULL,"101.018.C047"
NULL,NULL,"101.018.R086"
NULL,NULL,"101.020.R001"
NULL,NULL,"101.020.R137"
NULL,NULL,"101.032.R120"
NULL,NULL,"101.049.R001"
NULL,NULL,"101.059.R001"
NULL,NULL,"101.060.R001"
NULL,NULL,"101.105.R001"
NULL,NULL,"101.116.R001"
NULL,NULL,"101.125.I001"
NULL,NULL,"101.125.I002"
NULL,NULL,"101.125.I003"
NULL,NULL,"101.125.I004"
NULL,NULL,"101.126.I002"
NULL,NULL,"101.134.R001"
NULL,NULL,"101.135.I001"
NULL,NULL,"101.141.E001"
NULL,NULL,"101.141.F001"
NULL,NULL,"101.141.S001"
NULL,NULL,"101.142.S001"
NULL,NULL,"101.149.R001"
NULL,NULL,"101.154.I011"
NULL,NULL,"101.158.I001"
NULL,NULL,"101.159.S001"
NULL,NULL,"101.160.I011"
NULL,NULL,"101.164.R001"
NULL,NULL,"101.166.R001"
NULL,NULL,"101.167.S001"
NULL,NULL,"101.170.R001"
NULL,NULL,"101.171.R001"
NULL,NULL,"101.175.R001"
NULL,NULL,"101.176.R001"
NULL,NULL,"101.182.F001"
NULL,NULL,"101.182.I030"
NULL,NULL,"101.183.E001"
NULL,NULL,"101.183.F001"
NULL,NULL,"101.183.F002"
NULL,NULL,"101.184.F001"
NULL,NULL,"101.184.F002"
NULL,NULL,"101.184.I001"
NULL,NULL,"101.184.R001"
NULL,NULL,"101.191.F001"
NULL,NULL,"101.192.F001"
NULL,NULL,"101.194.F001"
NULL,NULL,"101.195.F001"
NULL,NULL,"101.198.F001"
NULL,NULL,"101.204.F001"
NULL,NULL,"102.009.R001"
NULL,NULL,"102.012.C005"
NULL,NULL,"102.012.C006"
NULL,NULL,"102.051.R127"
NULL,NULL,"102.054.R012"
NULL,NULL,"102.069.R013"
NULL,NULL,"102.069.R014"
NULL,NULL,"102.084.I002"
NULL,NULL,"102.084.R017"
NULL,NULL,"102.084.R105"
NULL,NULL,"102.105.M006"
NULL,NULL,"102.109.M009"
NULL,NULL,"102.109.M010"
NULL,NULL,"102.117.C001"
NULL,NULL,"102.118.M054"
NULL,NULL,"102.121.F040"
NULL,NULL,"102.121.M011"
NULL,NULL,"102.121.M012"
NULL,NULL,"102.122.F041"
NULL,NULL,"102.161.R092"
NULL,NULL,"102.165.R001"
NULL,NULL,"102.168.R094"
NULL,NULL,"102.172.R095"
NULL,NULL,"102.174.I050"
NULL,NULL,"102.177.R097"
NULL,NULL,"102.192.C066"
NULL,NULL,"102.192.C66"
NULL,NULL,"102.204.I001"
NULL,NULL,"102.204.T001"
NULL,NULL,"102.209.R001"
NULL,NULL,"102.209.R002"
NULL,NULL,"102.214.F001"
NULL,NULL,"102.218.C001"
NULL,NULL,"102.218.C002"
NULL,NULL,"102.218.C003"
NULL,NULL,"102.222.F001"
NULL,NULL,"102.223.R002"
NULL,NULL,"102.223.R004"
NULL,NULL,"102.223.S001"
NULL,NULL,"102.235.C001"
NULL,NULL,"102.237.C001"
NULL,NULL,"102.243.C001"
NULL,NULL,"102.243.C002"
NULL,NULL,"102.244.I001"
NULL,NULL,"102.257.I001"
NULL,NULL,"102.257.I002"
NULL,NULL,"102.266.C001"
NULL,NULL,"102.266.R100"
NULL,NULL,"102.266.S002"
NULL,NULL,"102.266.S004"
NULL,NULL,"102.266.S005"
NULL,NULL,"102.268.C001"
NULL,NULL,"102.278.F001"
NULL,NULL,"102.282.F001"
NULL,NULL,"102.283.M001"
NULL,NULL,"102.285.C002"
NULL,NULL,"102.285.F001"
NULL,NULL,"102.285.I001"
NULL,NULL,"102.286.I001"
NULL,NULL,"102.287.C001"
NULL,NULL,"102.289.F001"
NULL,NULL,"102.289.R001"
NULL,NULL,"102.295.C001"
NULL,NULL,"102.295.C002"
NULL,NULL,"102.295.F001"
NULL,NULL,"102.295.I001"
NULL,NULL,"102.295.R001"
NULL,NULL,"102.296.C001"
NULL,NULL,"102.296.R001"
NULL,NULL,"102.297.C001"
NULL,NULL,"102.297.F001"
NULL,NULL,"102.297.F002"
NULL,NULL,"102.297.F003"
NULL,NULL,"102.297.F004"
NULL,NULL,"102.297.F005"
NULL,NULL,"102.297.I001"
NULL,NULL,"102.297.R001"
NULL,NULL,"102.297.R002"
NULL,NULL,"102.297.S001"
NULL,NULL,"102.298.C001"
NULL,NULL,"102.298.F001"
NULL,NULL,"102.298.F002"
NULL,NULL,"102.298.F003"
NULL,NULL,"102.298.F004"
NULL,NULL,"102.298.F005"
NULL,NULL,"102.298.I001"
NULL,NULL,"102.298.R001"
NULL,NULL,"102161.R092"
NULL,NULL,"103.005.C001"
NULL,NULL,"103.005.C002"
NULL,NULL,"103.007.C016"
NULL,NULL,"103.008.R020"
NULL,NULL,"103.009.R001"
NULL,NULL,"103.009.R022"
NULL,NULL,"103.009.R023"
NULL,NULL,"103.011.R024"
NULL,NULL,"103.012.R025"
NULL,NULL,"103.016.R026"
NULL,NULL,"103.021.M014"
NULL,NULL,"103.021.R030"
NULL,NULL,"103.032.M016"
NULL,NULL,"103.035.R001"
NULL,NULL,"103.037.M064"
NULL,NULL,"103.037.M066"
NULL,NULL,"103.037.M067"
NULL,NULL,"103.045.R034"
NULL,NULL,"103.046.R035"
NULL,NULL,"103.056.F001"
NULL,NULL,"103.058.R001"
NULL,NULL,"103.058.R036"
NULL,NULL,"103.059.R001"
NULL,NULL,"103.059.R037"
NULL,NULL,"103.065.R039"
NULL,NULL,"103.068.I014"
NULL,NULL,"103.071.I015"
NULL,NULL,"103.071.R041"
NULL,NULL,"103.100.S001"
NULL,NULL,"103.108.S001"
NULL,NULL,"103.109.C001"
NULL,NULL,"103.109.F001"
NULL,NULL,"103.110.C001"
NULL,NULL,"103.110.R045"
NULL,NULL,"103.112.C001"
NULL,NULL,"103.112.R047"
